                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42571,                 2.8469,                 1.1105,                 0.0128,                0.99091,                0.11483,                0.06834,                 1.0302,                 4.2514,                  1.128,                0.00023,                0.00023,                0.00023
                      2,                 0.2818,                 1.8725,                0.99247,                0.69501,                0.38182,                0.16311,                0.08469,                 1.1719,                 3.6215,                 1.4586,             0.00046953,             0.00046953,             0.00046953
                      3,                0.25969,                 1.4735,                0.95794,                0.56605,                0.40934,                0.29838,                0.17628,                 1.2509,                 3.9877,                 1.7309,             0.00070859,             0.00070859,             0.00070859
                      4,                0.27772,                 1.4012,                0.95549,                0.75146,                0.14192,                0.34535,                0.22252,                0.82819,                 3.1943,                0.82924,             0.00094718,             0.00094718,             0.00094718
                      5,                0.25489,                 1.2982,                0.93168,                0.56727,                0.30303,                0.21248,                0.18315,                0.44758,                 4.0694,                0.61178,             0.00099604,             0.00099604,             0.00099604
                      6,                0.23943,                 1.1552,                0.93679,                0.44987,                0.31818,                0.24871,                0.14763,                0.56992,                 4.5881,                0.78263,             0.00099604,             0.00099604,             0.00099604
                      7,                0.22264,                 1.0886,                0.93672,                0.59524,                0.55152,                0.52349,                0.50756,                0.32535,                 2.8088,                0.48779,             0.00099505,             0.00099505,             0.00099505
                      8,                0.22592,                 1.0174,                0.92755,                0.64107,                0.37984,                 0.3969,                0.36661,                0.37818,                 3.1537,                0.57248,             0.00099406,             0.00099406,             0.00099406
                      9,                0.22194,                0.94894,                0.92784,                0.77675,                0.47638,                0.59586,                0.57767,                0.31359,                 2.5923,                0.44499,             0.00099307,             0.00099307,             0.00099307
                     10,                 0.2137,                0.95177,                 0.9171,                0.71006,                0.14848,                0.34975,                0.23752,                0.58194,                 3.0537,                0.67364,             0.00099208,             0.00099208,             0.00099208
                     11,                0.20949,                0.94197,                0.92187,                0.74631,                0.54545,                0.55571,                0.54199,                0.28551,                 2.4034,                0.45066,             0.00099109,             0.00099109,             0.00099109
                     12,                0.20207,                0.83575,                0.91675,                0.77097,                0.31515,                0.48839,                0.48002,                0.34602,                 2.1398,                0.49075,              0.0009901,              0.0009901,              0.0009901
                     13,                0.18703,                0.85737,                0.90782,                0.71747,                0.42344,                0.63097,                0.51208,                0.68319,                 2.2751,                 0.6684,             0.00098911,             0.00098911,             0.00098911
                     14,                0.19526,                0.86752,                0.91485,                0.80244,                0.41515,                0.56495,                0.31483,                0.60161,                 2.7102,                0.68555,             0.00098812,             0.00098812,             0.00098812
                     15,                0.19779,                0.79451,                0.91218,                0.87549,                0.28367,                0.61788,                0.55811,                0.37742,                 2.0703,                0.49447,             0.00098713,             0.00098713,             0.00098713
                     16,                 0.1794,                0.75074,                0.90821,                0.76542,                0.25758,                0.54783,                0.54783,                0.19145,                 1.9499,                 0.2855,             0.00098614,             0.00098614,             0.00098614
                     17,                0.18582,                0.76068,                0.90481,                0.60617,                0.43636,                0.38044,                 0.3471,                0.29733,                 2.9656,                0.41864,             0.00098515,             0.00098515,             0.00098515
                     18,                0.18391,                 0.6942,                0.89592,                0.36476,                0.63608,                0.63066,                0.60628,                 0.3983,                 1.9298,                0.52029,             0.00098416,             0.00098416,             0.00098416
                     19,                0.17245,                0.72751,                0.90923,                0.32064,                0.88182,                 0.6853,                0.63768,                0.34195,                 1.7859,                0.46337,             0.00098317,             0.00098317,             0.00098317
                     20,                 0.1692,                0.67691,                0.90168,                0.56693,                0.49697,                0.43738,                0.43738,                 0.2156,                 2.5319,                0.34148,             0.00098218,             0.00098218,             0.00098218
                     21,                0.17298,                0.70008,                0.91479,                0.80576,                0.43333,                0.58941,                0.58873,                0.20649,                 2.3541,                0.32956,             0.00098119,             0.00098119,             0.00098119
                     22,                0.17597,                0.67989,                0.89992,                0.49691,                0.72097,                0.60299,                0.58346,                0.34707,                 1.6393,                0.40512,              0.0009802,              0.0009802,              0.0009802
                     23,                0.17303,                0.66393,                0.90275,                 0.3463,                0.52784,                0.43731,                0.17795,                0.97644,                 2.5213,                0.79603,             0.00097921,             0.00097921,             0.00097921
                     24,                0.16125,                0.64423,                0.89529,                0.72434,                0.52424,                 0.5726,                0.56258,                0.35523,                 2.4111,                0.40493,             0.00097822,             0.00097822,             0.00097822
                     25,                0.18335,                0.65131,                0.90239,                0.36508,                0.46697,                0.46588,                0.46588,                 0.2443,                 1.9932,                0.33882,             0.00097723,             0.00097723,             0.00097723
                     26,                0.17732,                0.66384,                0.90568,                0.56494,                0.05455,                0.07814,                0.07814,                0.27459,                 3.4725,                0.35133,             0.00097624,             0.00097624,             0.00097624
                     27,                 0.1665,                0.59896,                0.90425,                0.39793,                0.79091,                0.59364,                0.59018,                0.31602,                 1.5222,                0.44407,             0.00097525,             0.00097525,             0.00097525
                     28,                0.16441,                0.60437,                0.90224,                0.51915,                0.67891,                0.60752,                0.60752,                0.22357,                  2.712,                0.31756,             0.00097426,             0.00097426,             0.00097426
                     29,                0.16503,                0.60372,                0.91241,                0.34098,                 0.6441,                0.63101,                0.61602,                0.28201,                 1.8198,                0.44042,             0.00097327,             0.00097327,             0.00097327
                     30,                0.16787,                0.61002,                0.90735,                0.44722,                0.35761,                0.44459,                0.42405,                0.45362,                 3.1113,                0.50866,             0.00097228,             0.00097228,             0.00097228
                     31,                0.16365,                0.55297,                0.90763,                0.72673,                0.59091,                0.57529,                0.57103,                0.27332,                 1.5534,                0.36471,             0.00097129,             0.00097129,             0.00097129
                     32,                  0.179,                0.62074,                 0.9031,                0.55321,                0.43521,                0.53929,                0.53537,                0.40515,                 1.9818,                0.50443,              0.0009703,              0.0009703,              0.0009703
                     33,                0.17352,                0.57163,                0.90656,                0.85226,                0.48196,                0.58895,                0.58361,                0.31497,                 1.9998,                0.41872,             0.00096931,             0.00096931,             0.00096931
                     34,                0.15549,                 0.5803,                0.90705,                0.86982,                0.73306,                0.76798,                0.76344,                0.37437,                 1.4984,                0.49215,             0.00096832,             0.00096832,             0.00096832
                     35,                0.16112,                0.57958,                0.89747,                0.90654,                0.71114,                0.78256,                0.78256,                0.29208,                 1.6041,                0.40821,             0.00096733,             0.00096733,             0.00096733
                     36,                0.16906,                0.54384,                0.90206,                0.67262,                0.76866,                0.74237,                0.73454,                0.30514,                 1.2826,                0.42519,             0.00096634,             0.00096634,             0.00096634
